Parking Lot,Permissions Mon through Thurs 2:30am to 5:00 am,Permissions Mon through Fri 5:00am to 4:00pm,Permissions Mon through Thurs 4pm to 2:30am,Permissions Fri through Sun 4:00pm to 9:00pm,Dates Lot Will be Closed,Dates Tickets Are Not Relevant
Lot 1,Faculty/Staff,Faculty/Staff,Faculty/Staff,Faculty/Staff,10/25/2018|1/2/2019,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 2,Faculty/Staff,Faculty/Staff,Faculty/Staff,Faculty/Staff,9/18/2018|9/19/2018|9/20/2018,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 3,,All,,All,10/26/2018|10/27/2018|10/28/2018|10/29/2018|11/1/2018|11/2/2018,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 4,Faculty/Staff,Faculty/Staff,Faculty/Staff,All,10/26/2018|10/27/2018|10/28/2018|10/29/2018|11/1/2018|11/2/2018,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 5,,UC|GC,,All,11/2/2018|11/3/2018|11/4/2018,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 6,,UC|GC,,All,11/2/2018|11/3/2018|11/4/2018|1/1/2019|1/2/2019|1/3/2019,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 7 Level one,,UC|GC,,All,2/14/2019|2/15/2019|2/16/2019,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 7 Level two,,UC|GC,,All,9/15/2018|9/16/2018|9/17/2018|9/18/2018,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 7 Level three,RA,RA,RA,All,12/15/2018|2/1/2018|3/4/2019,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
Lot 7 Level four,,UC|GC,,All,2/14/2019|2/15/2019|2/16/2019,12/21/2018|12/22/2018|12/23/2018|12/24/2018|12/25/2018|12/26/2018|12/27/2018|12/28/2018|12/29/2018|12/30/2018|12/31/2018|3/18/2019|3/19/2019|3/20/2019|3/21/2019|3/22/2019|6/1/2019|6/2/2019|6/3/2019|6/4/2019|6/5/2019|6/6/2019|6/7/2019|6/8/2019|6/9/2019|6/10/2019|6/11/2019|6/12/2019|6/13/2019|6/14/2019|6/15/2019|6/16/2019|6/17/2019|6/18/2019|6/19/2019|6/20/2019|6/21/2019|6/22/2019|6/23/2019|6/24/2019|6/25/2019|6/26/2019|6/27/2019|6/28/2019|6/29/2019|6/30/2019|7/1/2019|7/2/2019|7/3/2019|7/4/2019|7/5/2019|7/6/2019|7/7/2019|7/8/2019|7/9/2019|7/10/2019|7/11/2019|7/12/2019|7/13/2019|7/14/2019|7/15/2019|7/16/2019|7/17/2019|7/18/2019|7/19/2019|7/20/2019|7/21/2019|7/22/2019|7/23/2019|7/24/2019|7/25/2019|7/26/2019|7/27/2019|7/28/2019|7/29/2019|7/30/2019|7/31/2019|8/1/2019|8/2/2019|8/3/2019|8/4/2019|8/5/2019|8/6/2019|8/7/2019|8/8/2019|8/9/2019|8/10/2019|8/11/2019|8/12/2019|8/13/2019|8/14/2019|8/15/2019|8/16/2019|8/17/2019|8/18/2019|8/19/2019|8/20/2019|8/21/2019|8/22/2019|8/23/2019|8/24/2019|8/25/2019|8/26/2019|8/27/2019|8/28/2019|8/29/2019|8/31/2019
